Item Type,Publication Year,Title,Url,Responsáveis pela leitura,Column 6
webpage,,"“Fake Elections”? Cyber Propaganda, Disinformation and the 2017 General Elections in Kenya: African Journalism Studies: Vol 40 , No 4 - Get Access",https://www.tandfonline.com/doi/full/10.1080/23743670.2020.1719858,"Este artigo investiga como as redes sociais (Twitter, Facebook e WhatsApp) foram usadas para espalhar desinformação e propaganda digital durante as eleições gerais de 2017 no Quênia. ",
webpage,,"#RumorsCOVID-19: Predicting the Forwarding of Online Rumors in Wuhan, China and in Israel - Yaron Ariel, Vered Elishar-Malka, Shuo Seah, Dana Weimann-Saks, Gabriel Weimann, 2022",https://journals.sagepub.com/doi/10.1177/17480485221074848,covid e missinformation,
webpage,,A Comparative Study on Various Machine Learning Algorithms for the Prediction of Fake News Detections Using Bring Feed New Data Sets,https://ijsrcseit.com/home/issue/view/article.php?id=CSEIT228691,"Este estudo compara diferentes algoritmos de aprendizado de máquina para prever e detectar fake news em redes sociais, como Twitter, Facebook, WhatsApp e microblogs",
webpage,,A Dataset of Fact-Checked Images Shared on WhatsApp During the Brazilian and Indian Elections | Proceedings of the International AAAI Conference on Web and Social Media,https://ojs.aaai.org/index.php/ICWSM/article/view/7356,Dataset,
webpage,,A hierarchical network-oriented analysis of user participation in misinformation spread on WhatsApp - ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0306457321002387?via%3Dihub,Estuda as redes de compartilhamento de fake news,
journalArticle,2020,A Machine Learning Perspective towards Detecting Fake News,http://ijraset.com/fileserve.php?FID=28207,"O objetivo do artigo é desenvolver um modelo para detectar fake news utilizando técnicas de aprendizado de máquina e processamento de linguagem natural. O modelo foi criado a partir de um conjunto de notícias rotuladas como verdadeiras ou falsas, com o intuito de validar informações que circulam em plataformas de mídia social, como Twitter, WhatsApp e Facebook.",
webpage,,A Study of Misinformation in Audio Messages Shared in WhatsApp Groups | SpringerLink,https://link.springer.com/chapter/10.1007/978-3-030-87031-7_6,"""Nosso estudo se concentra no conteúdo e nas propriedades de propagação da desinformação em áudio""",
webpage,,A Taxonomy of Fake News Classification Techniques: Survey and Implementation Aspects | IEEE Journals & Magazine | IEEE Xplore,https://ieeexplore.ieee.org/document/9734026,Este estudo realiza um levantamento abrangente das técnicas de detecção de fake news e testa diferentes algoritmos de Machine Learning para encontrar o modelo mais eficiente.,
webpage,,"Analyzing Misinformation Claims During the 2022 Brazilian General Election on WhatsApp, Twitter, and Kwai | International Journal of Public Opinion Research | Oxford Academic",https://academic.oup.com/ijpor/article/36/3/edae032/7709027?login=false,"Os autores investigam como as fake news circularam em diferentes plataformas durante as eleições e como a checagem de fatos ajudou a combatê-las.
",
webpage,,Bias in X (Twitter) and Telegram Based Intelligence Analysis: Exploring Challenges and Potential Mitigating Roles of AI | SN Computer Science,https://link.springer.com/article/10.1007/s42979-024-02935-w,análise e mitigação de viés no telegram,
webpage,,Can WhatsApp Counter Misinformation by Limiting Message Forwarding? | SpringerLink,https://link.springer.com/chapter/10.1007/978-3-030-36687-2_31,avaliar o impacto da limitação de encaminhamentos,
webpage,,"Chat Apps and Cascade Logic: A Multi-Platform Perspective on India, Mexico, and the United States - Jacob Gursky, Martin J. Riedl, Katie Joseff, Samuel Woolley, 2022",https://journals.sagepub.com/doi/10.1177/20563051221094773,"O objetivo do artigo é estudar como os aplicativos de mensagens, como WhatsApp, Telegram e Signal, são usados para espalhar desinformação.",
webpage,,COMMENT: Narrative-based misinformation in India about protection against Covid-19: Not just another “moo-point”,https://ijme.in/articles/narrative-based-misinformation-in-india-about-protection-against-covid-19-not-just-another-moo-point/,"Analisa a desinformação baseada em narrativas na Índia durante a pandemia da Covid-19, com foco na crença de que produtos derivados da vaca poderiam proteger contra o vírus.",
webpage,,"Conspiracy Theories, Messianic Populism and Everyday Social Media Use in Contemporary Brazil: a Glocal Semiotic Perspective | Glocalism: Journal of Culture, Politics and Innovation",https://riviste.unimi.it/index.php/glocalism/article/view/20947,tem whatsapp e conspiração,
webpage,,Content Analysis of Persuasion Principles in Mobile Instant Message Phishing | SpringerLink,https://link.springer.com/chapter/10.1007/978-3-031-38530-8_26,pishing em apps de msg,
webpage,,"Content tracing: examining fact-checking via a WhatsApp group during the COVID-19 pandemic: Behaviour & Information Technology: Vol 44 , No 2 - Get Access",https://www.tandfonline.com/doi/full/10.1080/0144929X.2024.2318613,msgs encaminhadas na época do covid,
webpage,,Counterfeit news detection using machine learning| International Journal of Innovative Science and Research Technology,https://www.ijisrt.com/counterfeit-news-detection-using-machine-learning,"Usam machine learning para detectar fake news do Twitter, face book, Instagram e Whatsapp",
webpage,,COVID-19-Related Social Media Fake News in India,https://www.mdpi.com/2673-5172/2/1/7,Este estudo busca entender as cinco características importantes das notícias falsas de mídia social relacionadas à COVID-19,
webpage,,Deep Learning for Bengali Fake News Detection: Innovative Approaches for Accurate Classification - International Journal of Research and Innovation in Applied Science (IJRIAS),https://rsisinternational.org/journals/ijrias/articles/deep-learning-for-bengali-fake-news-detection-innovative-approaches-for-accurate-classification/,redes neurais e desinformação,
