Responsável,ARTIGO,BIBTEX,Ano,Autores,Conferencia (Local de Publicação),"Repositorio (PubMed Capes, ACM IEEE)",Citações (Google Scholar),"Plataforma (WhatsApp, Telegram, Discord, WeChat, etc)",País,"conjunto de dados utilizados para fazer analise (Não usou, mensagens, entrevistas, coleta, dado fornecido por usuario). survey de outros artigos...",Tamanho do dataset (Se tiver coletado dado direto da rede social),"Tópico  dos dados (Política, Saúde, Outro?)","Quais as características mais internas dessas plataformas que favorecem o espalhamento de desinformação? (por exemplo: ambiente é criptografado, é anonimo, é dificil de rastrear,  não da pra checar veracidade, viraliza muito facil etc etc) Coisas internas aos sistemas do WhatsApp Telegram Etc","Quais os principais problemas externos à plataformas e da sociedade que facilitam o espalhamento de desinformação levantados pelo artigo? Desafios apontados externos ao WhatsApp/Efeitos da desinformação na população (alguns exemplos: caracteristicas da população em geral, sociedade polarizada, topicos polemicos, característica geracionais, entre outros fatores que favorecem o compartilhamento de fake news)","Quais os impactos causados pela desinformação/fake news na nossa sociedade levantados pelo artigo? Quais os problemas causados em consequência da fake news (alguns exemplos: manipulação de eleições (e outras opiniões), deterioramente da saúde, impactos na saúde, educação, tecnologia etc)","O artigo tem alguma Soluções propostas EFETIVA para combate a desinformação? ( Exemplos: Modelo de IA para detecção de desinformação, arquitetura especifica para checar os fatos, colaboração com agencia de fact-checking, mudanças nas diretrizes e funcionamento das plataformas, políticas publicas de combate a desinformação)",Quais os meios de combate à desinformação tem sido aplicado nessas plataformas,OBSERVAÇÕES
Ana Flávia,"“Fake or not, I’m sharing it”: teen perception about disinformation in social networks",zozaya2024fake,2024,"Luisa Dolores Zozaya-Durazo, Charo Sádaba-Chalezquer, Beatriz Feijoo‐Fernández ","Young Consumers - Emerald Insights
",ACM,20,-,Espanha,Não usou,- ,- ,-,Características geracionais (pessoas mais velhas tem maior tendência em espalhar notícias falsas),-,-,Mensagens de aviso exibidas pela rede,Não foca em uma rede específica
Ana Flávia,A Study of Misinformation in WhatsApp groups with a focus on the Brazilian Presidential Elections.,10.1145/3308560.3316738,2019,"Machado, C., Kira, B., Narayanan, V., Kollanyi, B., & Howard, P. ","THEWEBCONF
TheWebConf: The ACM Web Conference",ACM,142,WhatsApp,Brasil,Coletaram mensagens em 130 grupos do WhatsApp,298892 mensagens e 99988 arquivos de mídia,Política," plataforma interpessoal e tende a simular um ambiente mais privado;
ainda não existem meios de monitorar ou rastrear conteúdo, nem de permitir a remoção de conteúdo ilegal.
 mecanismos de controle reduzidos e a fiscalização fraca da lei;","A campanha de Bolsonaro atacou repetidamente os principais veículos de comunicação, rotulando-os como produtores de “fake news”, e defendeu o WhatsApp como um espaço livre, onde os usuários poderiam relatar experiências “em primeira mão” e driblar os vieses dos grandes meios de comunicação ","Polarização política, obstrução do debate público e incentivo a atos de violência política.

",,-,Os vídeos são um recurso importante para a disseminação de conteúdo polarizador e conspiratório. Eles são particularmente eficazes porque são facilmente editáveis e transmitem informações usando imagens carregadas e apelativas.
Helom,"Accost, Accede, or Amplify: Attitudes towards COVID-19 Misinformation on WhatsApp in India",10.1145/3491102.3517588,2022,"Rama Adithya Varanasi, Joyojeet Pal, Aditya Vashistha",Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,ACM,34,WhatsApp,India,sem dataset,,saúde (covid),O recurso de grupos e as mensagens criptografadas,"polarização política, hierarquia social ( as mensagens eram mais aceitas dependendo disso) ",desentendimento e riscos à saúde,"encontros presenciais, grupos paralelos com especialistas","o texto mostra meios de combates bem limitados, como encontros presenciais, outros grupos urbanos com especialistas",
Helom,Analyzing Textual (Mis)Information Shared in WhatsApp Groups,10.1145/3292522.3326029,2019,"Gustavo Resende, Philipe Melo, Julio C. S. Reis, Marisa Vasconcelos, Jussara M. Almeida, Fabrício Benevenuto",Web Science Conference,ACM,107,WhatsApp,Brasil,Mensagens de grupos públicos,591.162 mensagens,Política,A estrutura dos grupos serem de pequenas comunidades. O uso de gatilhos em correntes sinalizando que mensagens são urgentes e pedindo para compartilhar,"Polarização política, sensacionalismo e alta confiança nas informações internas das comunidades ","Reforçamento da polirização, falsas alegações sobre políticos",é sugerido mecanismos para a detecção de desinformações,Fala sobre a sinalização de varios encaminhamentos da plataforma mas é defendido sua ineficiência ,
Helom,Conversational Agents to Facilitate Deliberation on Harmful Content in WhatsApp Groups,10.1145/3687030,2024,"Dhruv Agarwal (Cornell University, EUA)

Farhana Shahid (Cornell University, EUA)

Aditya Vashistha (Cornell University, EUA)",Proceedings of the ACM on Human-Computer Interaction – CSCW2 (2024),ACM,8,WhatsApp,India,usuários indianos de WhatsApp,21 entrevistas,Aborda temas de maneira geral como política e religião,O artigo destaca a criptografia e a dinâmica dos grupos privados como fatores que permitem a disseminação de conteúdos nocivos. Também cita a falta de moderação,Polarização e hierarquia social,"O artigo menciona danos concretos no mundo real, incluindo manipulação eleitoral, violência por linchamento e mortes relacionadas à saúde devido à desinformação ","O estudo propõe agentes deliberativos baseados em IA para facilitar discussões anônimas em grupo, incentivando a reflexão crítica.",Linhas diretas de checagem de fatos: limitadas a conteúdo factual e com desafios de escalabilidade,
Helom,Helping Fact-Checkers Identify Fake News Stories Shared through Images on WhatsApp,10.1145/3617023.3617045,2023,"Julio C. S. Reis, Philipe Melo, Fabiano Belém, Fabricio Murai, Jussara M. Almeida, Fabricio Benevenuto",WebMedia Conference,ACM,7,WhatsApp,Brasil,Coleta direta de imagens em grupos públicos do WhatsApp ,Dados coletados de grupos públicos do WhatsApp durante eleições de 2018; tamanho exato não especificado,Politica," o artigo menciona características internas do WhatsApp que facilitam a disseminação de desinformação, como a facilidade de formação de grupos baseados em interesses e o encaminhamento de mensagens. Além disso, destaca a natureza descentralizada e privada das comunicações no WhatsApp",o artigo menciona o cenário político polarizado no Brasil durante as eleições de 2018 como um fator externo que facilitou a disseminação de desinformação. Também destaca que grupos de direita foram mais ativos na propagação de notícias falsas.,não detalha muito sobre os impactos sociais ,"o artigo propõe uma solução eficaz: um modelo de aprendizado de máquina (XGBoost) que atribui um 'fakeness score' a imagens compartilhadas no WhatsApp, ajudando agências de fact-checking a priorizar conteúdo suspeito.","O artigo menciona que o WhatsApp implementou medidas para reduzir a disseminação de desinformação, como limitar o número de encaminhamentos de mensagens. No entanto, ressalta que essas medidas são insuficientes",
João Francisco,Countering Misinformation in Private Messaging Groups: Insights From a Fact-checking Chatbot,10.1145/3701189,2025,"TH Lee, SR Fussell",Proceedings of the ACM on Human-Computer Interaction,ACM,1,LINE,Taiwan (China),-,-,-,"Perda de fonte e outros metadados leva a dificuldade de discernir conteúdo falso, Dificuldade em implementar fact checks automáticos/comunitários (estilo tt), impossibildade de diminuir alcançe de contas desinformadoras","Normas sociais quanto a corrigir alguém abertamente, Fatores culturais (respeito a idosos no taiwan), Vulnerabilidade demográfica (idosos)",-,"Limitação de forwarding, Fact-checking crowdsource, ChatBot conversacional anti desinfo (proposta do artigo)",,é sobre o LINE
João Francisco,IARA - An Architectural Model to Assist the Development of Advising Bots for Misinformation Detection,10.1145/3617023.3617046,2023,"M Cacabro, W Franco, JM Monteiro, J Machado",WebMedia,ACM,2,-,-,-,-,Combate,"Falta de moderação, viralidade","Campanhas organizadas de desinfo, capacidade limitada de distinção","erosão da confiabilidade, instabilidade social, ameaças a democracia, ameaças a saúde",Implementação de chat-bots pró ativos na correção de desinformação e na educação digital dos usuários,-,não é um artigo (tese)
João Francisco,WhatsApp and false information: a value-oriented evaluation,10.1145/3424953.3426638,2020,"A Puska, LA Baroni, MC Canal, LSG Piccolo, R Pereira",Brazilian Symposium on Human Factors in Computing Systems,ACM,8,Whatsapp,Brasil,mensagens de 6 usuários,-,Outro,"criptografia, facilidade de encaminhamento, falta de ferramentas de verificação built-in","polarização, confiança em redes ""pessoais"" (grupos)","influencia na política, riscos a saúde","labels de origem, programas de alfabetização digital, controles mais estritos para admins de grupos",limite de forward,
Marcos,On the Globalization of the QAnon Conspiracy Theory Through Telegram,10.1145/3578503.3583603,2023,"Mohamad Hoseini, Philipe Melo, Fabricio Benevenuto, Anja Feldmann, Savvas Zannettou",Proceedings of the 15th ACM Web Science Conference 2023,ACM,87,Telegram,Estados Unidos,Dados de avaliação crowdsourced via MTurk,Não coletou dados diretamente de redes sociais.,Política,"Telegram possui políticas de moderação pouco rigorosas e é atrativo para grupos de conspiracionistas como o QAnon; Possui canais e grupos com suporte a grandes públicos e funcionalidades multimídia; Mensagens podem ser encaminhadas entre grupos com indicação de origem, o que facilita viralização","A radicalização ideológica e popularidade de teorias da conspiração, especialmente ligadas à extrema-direita; Popularização da teoria em países europeus, com maior toxicidade em conteúdos em português e alemão","Incentivo a atos de violência no mundo real, como o ataque ao Capitólio dos EUA; Disseminação de discurso de ódio e ideologias conspiratórias em escala global","Não propõe soluções práticas diretas. O foco é descritivo/analítico, com uso de métodos como análise de toxicidade e modelagem de tópicos para entender a propagação da desinformação","Não propõe soluções práticas diretas. O foco é descritivo/analítico, com uso de métodos como análise de toxicidade e modelagem de tópicos para entender a propagação da desinformação",
